oa_institution_id,oa_institution_name,oa_institution_ror,oa_institution_country_code,oa_institution_type
https://openalex.org/I204136569,The Open University,https://ror.org/05mzfcs16,GB,funder
https://openalex.org/I128589980,Breda University of Applied Sciences,https://ror.org/04mfj5474,NL,education
https://openalex.org/I1319930901,Teach For America,https://ror.org/009za6q24,US,nonprofit
https://openalex.org/I4210145056,Marine Biomedical Research Institute of Qingdao,https://ror.org/03pffnr86,CN,facility
https://openalex.org/I874236823,Fogarty International Center,https://ror.org/02xey9a22,US,healthcare
https://openalex.org/I4210132950,Stomatology Hospital,https://ror.org/041yj5753,CN,healthcare
https://openalex.org/I1309191912,Research Triangle Park Foundation,https://ror.org/03eqttr49,US,nonprofit
https://openalex.org/I191217947,NOAA Geophysical Fluid Dynamics Laboratory,https://ror.org/03vmn1898,US,government
https://openalex.org/I192392021,University of Central Punjab,https://ror.org/04g0mqe67,PK,funder
https://openalex.org/I102065260,PTT Public Company Limited (Thailand),https://ror.org/056ksgr44,TH,funder
https://openalex.org/I208333798,University of Missouri–St. Louis,https://ror.org/037cnag11,US,funder
https://openalex.org/I131231118,Aoyama Gakuin University,https://ror.org/002rw7y37,JP,funder
https://openalex.org/I4210136457,Shibuya (Japan),https://ror.org/03t1ztz45,JP,company
https://openalex.org/I75917431,Nara Institute of Science and Technology,https://ror.org/05bhada84,JP,funder
https://openalex.org/I4210091688,Chongqing Academy of Environmental Science,https://ror.org/00gth1k53,CN,nonprofit
https://openalex.org/I4210162460,Bavarian Center for Applied Energy Research,https://ror.org/059wtn003,DE,nonprofit
https://openalex.org/I13590829,Dhurakij Pundit University,https://ror.org/01k12f283,TH,education
https://openalex.org/I131651094,University of Denver,https://ror.org/04w7skc03,US,funder
https://openalex.org/I4210120309,Guangdong Urban & Rural Planning and Design Institute,https://ror.org/0312bsv17,CN,other
https://openalex.org/I4210095123,Seoul Institute,https://ror.org/00pnt8b91,KR,government
https://openalex.org/I4210134815,National Research Centre for the Working Environment,https://ror.org/03f61zm76,DK,government
https://openalex.org/I4210115026,Nordisk Institut for Kiropraktik og Klinisk Biomekanik,https://ror.org/028jkr018,DK,funder
https://openalex.org/I4210144709,Wenzhou Polytechnic,https://ror.org/05h1ry383,CN,education
https://openalex.org/I45935490,National Institute of Water and Atmospheric Research,https://ror.org/04hxcaz34,NZ,funder
https://openalex.org/I4210101881,Wellcome Centre for Integrative Neuroimaging,https://ror.org/0172mzb45,GB,facility
https://openalex.org/I120760893,Asian Institute of Management,https://ror.org/03mt6tt39,PH,education
https://openalex.org/I4391767909,State Key Laboratory of Natural Medicine,https://ror.org/01as92r37,,funder
https://openalex.org/I4210125499,Gulf Marine Institute of Technology,https://ror.org/036501p19,US,nonprofit
https://openalex.org/I1299528221,Engineering and Physical Sciences Research Council,https://ror.org/0439y7842,GB,government
https://openalex.org/I4210156562,Chiayi Chang Gung Memorial Hospital,https://ror.org/04gy6pv35,TW,healthcare
https://openalex.org/I97663771,Kyushu Tokai University,https://ror.org/00w0f8567,JP,education
https://openalex.org/I28710699,Hellenic Mediterranean University,https://ror.org/039ce0m20,GR,education
https://openalex.org/I82333064,Chinese Academy of Governance,https://ror.org/006cgkx15,CN,government
https://openalex.org/I4210107283,Royal Netherlands Institute for Sea Research,https://ror.org/01gntjh03,NL,funder
https://openalex.org/I199440890,American University of Sharjah,https://ror.org/001g2fj96,AE,funder
https://openalex.org/I2802331550,Taipei Medical University Hospital,https://ror.org/03k0md330,TW,healthcare
https://openalex.org/I138535782,Indiana Wesleyan University,https://ror.org/04hrnch96,US,funder
https://openalex.org/I4210151697,Excelsia College,https://ror.org/04qct7s53,AU,education
https://openalex.org/I41802502,Kanagawa University,https://ror.org/02j6c0d67,JP,funder
https://openalex.org/I4210122757,Asossa University,https://ror.org/02nkn4852,ET,education
https://openalex.org/I4210092004,Plastic Surgery Hospital,https://ror.org/00fk0yb75,CN,healthcare
https://openalex.org/I4210142421,Korea Institute of Geoscience and Mineral Resources,https://ror.org/044k0pw44,KR,funder
https://openalex.org/I36721946,Kuwait University,https://ror.org/021e5j056,KW,funder
https://openalex.org/I17477748,Rajshahi University of Engineering and Technology,https://ror.org/049ysg747,BD,education
https://openalex.org/I4210111543,Harvard Pilgrim Health Care,https://ror.org/01zxdeg39,US,healthcare
https://openalex.org/I4210140884,National Cancer Institute,https://ror.org/040gcmg81,US,government
https://openalex.org/I4210108244,Yantai Institute of Coastal Zone Research,https://ror.org/01pab2602,CN,funder
https://openalex.org/I50754188,ArcelorMittal (Luxembourg),https://ror.org/02bez8p50,LU,funder
https://openalex.org/I44504214,Czech Technical University in Prague,https://ror.org/03kqpb082,CZ,funder
https://openalex.org/I4210114063,Beck Institute for Cognitive Behavior Therapy,https://ror.org/0271pep11,US,education
https://openalex.org/I2800722420,Ottawa Hospital,https://ror.org/03c62dg59,CA,healthcare
https://openalex.org/I4388482656,Ottawa Hospital Research Institute,https://ror.org/05jtef216,,healthcare
https://openalex.org/I2799887408,Adventist University of Africa,https://ror.org/01b7tbs82,KE,education
https://openalex.org/I53110688,University of Córdoba,https://ror.org/05yc77b46,ES,funder
https://openalex.org/I1141210,Indian Agricultural Statistics Research Institute,https://ror.org/03kkevc75,IN,facility
https://openalex.org/I32907511,Fairleigh Dickinson University,https://ror.org/04wkzvc75,US,funder
https://openalex.org/I4210117818,Hexi University,https://ror.org/02axfzt86,CN,funder
https://openalex.org/I4210088587,Tianjin Third Central Hospital,https://ror.org/00911j719,CN,healthcare
https://openalex.org/I4210156400,Hunan Provincial Science and Technology Department,https://ror.org/04qgr7x96,CN,government
https://openalex.org/I4210115482,Laboratoire d'Étude des Microstructures et de Mécanique des Matériaux,https://ror.org/01nyrrx14,FR,facility
https://openalex.org/I4210145099,Xian Yang Central Hospital,https://ror.org/042g3qa69,CN,healthcare
https://openalex.org/I4210135576,Sichuan Provincial Hospital of Traditional Chinese Medicine,https://ror.org/03q33dp04,CN,healthcare
https://openalex.org/I4210148362,Jingzhou Central Hospital,https://ror.org/04gnkpp77,CN,healthcare
https://openalex.org/I4210117958,Flowminder Foundation,https://ror.org/02tr89m76,SE,nonprofit
https://openalex.org/I135551196,National Kaohsiung Normal University,https://ror.org/04tsc8g87,TW,education
https://openalex.org/I4210146690,National University Hospital,https://ror.org/04fp9fm22,SG,healthcare
https://openalex.org/I1327553481,Institut national de l’information géographique et forestière,https://ror.org/05jxfge78,FR,government
https://openalex.org/I148261361,Institut de physique du globe de Paris,https://ror.org/004gzqz66,FR,funder
https://openalex.org/I4210108118,"Laboratoire d'Informatique, du Traitement de l'Information et des Systèmes",https://ror.org/01f1vfy95,FR,facility
https://openalex.org/I4387155970,GeoRessources,https://ror.org/04mq2px33,,facility
https://openalex.org/I169615421,Middle Tennessee State University,https://ror.org/02n1hzn07,US,funder
https://openalex.org/I2802753785,Mackay Memorial Hospital,https://ror.org/015b6az38,TW,healthcare
https://openalex.org/I137614889,École Nationale Supérieure de Chimie de Lille,https://ror.org/041yg4h55,FR,education
https://openalex.org/I151229976,National Kaohsiung University of Hospitality and Tourism,https://ror.org/0047xfd47,TW,healthcare
https://openalex.org/I114173286,Gujarat University,https://ror.org/017f2w007,IN,education
https://openalex.org/I2800006345,Leiden University Medical Center,https://ror.org/05xvt9f17,NL,healthcare
https://openalex.org/I2800300635,Edith Nourse Rogers Memorial Veterans Hospital,https://ror.org/015nymp25,US,healthcare
https://openalex.org/I4210110523,Geriatric Research Education and Clinical Center,https://ror.org/01nh3sx96,US,healthcare
https://openalex.org/I4210160695,Shaoxing People's Hospital,https://ror.org/05v58y004,CN,healthcare
https://openalex.org/I162521676,WuFeng University,https://ror.org/05d293n36,TW,education
https://openalex.org/I170979836,Jadavpur University,https://ror.org/02af4h012,IN,funder
https://openalex.org/I154549908,Indian Institute of Technology Jodhpur,https://ror.org/03yacj906,IN,education
https://openalex.org/I860003557,Punjab Engineering College,https://ror.org/00bsj2955,IN,funder
https://openalex.org/I4210127624,Shougang Institute of Technology,https://ror.org/03agmnc67,CN,education
https://openalex.org/I4210135910,National Maternity Hospital,https://ror.org/03jcxa214,IE,healthcare
https://openalex.org/I4210118229,NIHR Southampton Biomedical Research Centre,https://ror.org/01qqpzg67,GB,funder
https://openalex.org/I4210122033,Polis,https://ror.org/032bb5546,BE,other
https://openalex.org/I4210165226,Thermo Fisher Scientific (China),https://ror.org/05jtcqr88,CN,company
https://openalex.org/I1300393620,Bydgoszcz University of Science and Technology,https://ror.org/049eq0c58,PL,funder
https://openalex.org/I4210120963,Association for the Development of Earthquake Prediction,https://ror.org/02akdcs48,JP,facility
https://openalex.org/I4210107668,Guangzhou Regenerative Medicine and Health Guangdong Laboratory,https://ror.org/01n179w26,CN,funder
https://openalex.org/I4210112718,Tianjin Internal Combustion Engine Research Institute,https://ror.org/01v49q824,CN,facility
https://openalex.org/I9340882,Chiang Mai Rajabhat University,https://ror.org/02r6k7132,TH,education
https://openalex.org/I4210120701,The 180th Hospital of PLA,https://ror.org/01ye08k77,CN,healthcare
https://openalex.org/I4210096200,Fourth People's Hospital of Sichuan Province,https://ror.org/00vva8g89,CN,healthcare
https://openalex.org/I133960621,Roslin Institute,https://ror.org/01920rj20,GB,facility
https://openalex.org/I15881080,Universidad Nacional de Cuyo,https://ror.org/05sn8wf81,AR,funder
https://openalex.org/I4210157473,Instituto de Medicina y Biología Experimental de Cuyo,https://ror.org/05q52xn14,AR,facility
https://openalex.org/I147791725,Jambi University,https://ror.org/00g1w3j30,ID,funder
https://openalex.org/I4210125119,Solana Networks (Canada),https://ror.org/03336v443,CA,company
https://openalex.org/I184578258,Mohawk College,https://ror.org/03embeq77,CA,education
https://openalex.org/I4210125748,First Hospital of Shanxi Medical University,https://ror.org/02vzqaq35,CN,healthcare
https://openalex.org/I4210159511,Changhua Christian Hospital,https://ror.org/05d9dtr71,TW,healthcare
https://openalex.org/I32303042,Tajen University,https://ror.org/01fvf0d84,TW,education
https://openalex.org/I121243025,"International Islamic University, Islamabad",https://ror.org/047w75g40,PK,education
https://openalex.org/I4210119987,Qingdao Municipal Hospital,https://ror.org/02jqapy19,CN,healthcare
https://openalex.org/I4387153663,Singapore Institute of Management,https://ror.org/01wxh6v83,,education
https://openalex.org/I2801347850,Central Building Research Institute,https://ror.org/03gjr0792,IN,facility
https://openalex.org/I122140584,Universidade Federal do Rio de Janeiro,https://ror.org/03490as77,BR,funder
https://openalex.org/I4391768260,State Key Laboratory of Space Medicine Fundamentals and Application,https://ror.org/01ss8rw36,,funder
https://openalex.org/I133270356,Tianjin University of Technology and Education,https://ror.org/035gwtk09,CN,education
https://openalex.org/I169479621,Development Research Center of the State Council,https://ror.org/00gkkv889,CN,government
https://openalex.org/I4210122217,Irkutsk National Research Technical University,https://ror.org/01zzkcm34,RU,funder
https://openalex.org/I83321563,Samford University,https://ror.org/0040cz635,US,education
https://openalex.org/I2801069124,Martha Jefferson Hospital,https://ror.org/00agkba13,US,healthcare
https://openalex.org/I83809506,University of South Alabama,https://ror.org/01s7b5y08,US,funder
https://openalex.org/I4210124833,Bali Psychiatric Center,https://ror.org/031drvr68,TW,government
https://openalex.org/I4210102244,Institut de Neurosciences Cognitives et Intégratives d’Aquitaine,https://ror.org/01a6zh966,FR,facility
https://openalex.org/I4210125684,Neurocentre Magendie,https://ror.org/02xx07v13,FR,facility
https://openalex.org/I4210148332,Barcelona Institute for Global Health,https://ror.org/03hjgt059,ES,healthcare
https://openalex.org/I4210147769,Institute for Bioengineering of Catalonia,https://ror.org/056h71x09,ES,funder
https://openalex.org/I46529539,Chinese Academy of Fishery Sciences,https://ror.org/02bwk9n38,CN,nonprofit
https://openalex.org/I4210150832,Oriental Yuhong (China),https://ror.org/05txnrv95,CN,company
https://openalex.org/I4210161184,Shanghai Optical Instrument Research Institute,https://ror.org/04cy5nh07,CN,facility
https://openalex.org/I4387155047,"Hospital of Stomatology, Sun Yat-sen University",https://ror.org/04bswr545,,healthcare
https://openalex.org/I4210152724,Institut du Cerveau,https://ror.org/050gn5214,FR,facility
https://openalex.org/I4210125304,CDM Smith (United States),https://ror.org/03ck8xc11,US,company
https://openalex.org/I4387152412,Guangzhou Metro Design & Research Institute,https://ror.org/02sdahq48,,company
https://openalex.org/I4210138378,Dominion (United States),https://ror.org/038q98v71,US,funder
https://openalex.org/I47948057,Kunming Metallurgy College,https://ror.org/04586n774,CN,education
https://openalex.org/I4210134384,Center of Excellence on Hazardous Substance Management,https://ror.org/04p4gjp18,TH,education
https://openalex.org/I4210141589,Running Injury Clinic,https://ror.org/046xv3q50,CA,healthcare
https://openalex.org/I4210139554,Landstinget i Kalmar län,https://ror.org/033bc9f34,SE,government
https://openalex.org/I3130746609,St. Paul's Co-educational College,https://ror.org/04zsrq347,HK,education
https://openalex.org/I4210139461,Laboratoire d'Informatique de l'École Polytechnique,https://ror.org/04afed728,FR,facility
https://openalex.org/I4210132615,Zhejiang Energy Group (China),https://ror.org/03a2tkf74,CN,company
https://openalex.org/I130194489,University of Alicante,https://ror.org/05t8bcz72,ES,funder
https://openalex.org/I2799786008,Glenn Research Center,https://ror.org/059fqnc42,US,funder
https://openalex.org/I4210119119,Beijing Administration Institute,https://ror.org/02mf18m55,CN,education
https://openalex.org/I4210137750,UC Irvine Health,https://ror.org/03fgher32,US,healthcare
https://openalex.org/I4210091712,Zhengzhou University of Science and Technology,https://ror.org/00b3j7936,CN,education
https://openalex.org/I1324288179,Ministry of Transportation and Communications,https://ror.org/02pnc0262,TW,government
https://openalex.org/I109297418,Gebze Technical University,https://ror.org/01sdnnq10,TR,funder
https://openalex.org/I4210127310,Africa Health Research Institute,https://ror.org/034m6ke32,ZA,facility
https://openalex.org/I119234918,University of Northern Iowa,https://ror.org/02h4qpx12,US,funder
https://openalex.org/I4210167381,First Affiliated Hospital of Wannan Medical College,https://ror.org/05wbpaf14,CN,healthcare
https://openalex.org/I4210143566,PLUS Foundation,https://ror.org/04qq90y81,US,nonprofit
https://openalex.org/I68348662,Shih Hsin University,https://ror.org/03ynprv96,TW,education
https://openalex.org/I103531236,Boston College,https://ror.org/02n2fzt79,US,funder
https://openalex.org/I180507712,Hult International Business School,https://ror.org/01wttbg53,GB,funder
https://openalex.org/I104658917,University of Chichester,https://ror.org/029tw2407,GB,funder
https://openalex.org/I2800535057,IP Australia,https://ror.org/014vqg108,AU,government
https://openalex.org/I4210156893,Guangdong Inspection and Quarantine Technology Center (China),https://ror.org/059b2sn04,CN,company
https://openalex.org/I134784518,Institute of Business Administration Karachi,https://ror.org/03egfpm06,PK,education
https://openalex.org/I4210109584,Institute of Business Leadership,https://ror.org/021ap3951,PK,education
https://openalex.org/I20616075,Qinghai Normal University,https://ror.org/03az1t892,CN,funder
https://openalex.org/I2802459333,China Rehabilitation Research Center,https://ror.org/02bpqmq41,CN,healthcare
https://openalex.org/I95858998,Hungkuang University,https://ror.org/02f2vsx71,TW,funder
https://openalex.org/I78974044,East China University of Political Science and Law,https://ror.org/01d1erx18,CN,education
https://openalex.org/I76903346,University of Coimbra,https://ror.org/04z8k9a98,PT,funder
https://openalex.org/I4210129280,GeoHazards International,https://ror.org/02d6wbq68,US,nonprofit
https://openalex.org/I4210159841,International Network for Advancing Science and Policy,https://ror.org/05qm91k56,GB,nonprofit
https://openalex.org/I167147083,Overseas Development Institute,https://ror.org/02res4f29,GB,nonprofit
https://openalex.org/I4210121810,Institute for Global Environmental Strategies,https://ror.org/02jgraj16,US,nonprofit
https://openalex.org/I4210118281,National Earthquake Response Support Service,https://ror.org/02gzvm828,CN,facility
https://openalex.org/I4210098092,Ethiopian Public Health Institute,https://ror.org/00xytbp33,ET,facility
https://openalex.org/I4210139849,Berman Center for Outcomes and Clinical Research,https://ror.org/04jcfwb48,US,facility
https://openalex.org/I4210160105,Baker Hughes (United Kingdom),https://ror.org/05h78k766,GB,company
https://openalex.org/I4210109993,University of the East Ramon Magsaysay Memorial Medical Center,https://ror.org/01rxjzf54,PH,healthcare
https://openalex.org/I205143321,Osaka Medical and Pharmaceutical University,https://ror.org/01y2kdt21,JP,funder
https://openalex.org/I188910012,Momoyama Gakuin University,https://ror.org/048z9th72,JP,education
https://openalex.org/I4210122128,Taiwan Nurses Association,https://ror.org/02px13636,TW,other
https://openalex.org/I115067436,Changzhi University,https://ror.org/04svmxd14,CN,education
https://openalex.org/I4210100804,Gillette Children's Specialty Healthcare,https://ror.org/0142es516,US,healthcare
https://openalex.org/I4210101378,Cheng Hsin General Hospital,https://ror.org/014f77s28,TW,healthcare
https://openalex.org/I4210087216,Hunan Provincial Center for Disease Control and Prevention,https://ror.org/0066efq29,CN,government
https://openalex.org/I107707843,Roskilde University,https://ror.org/014axpa37,DK,education
https://openalex.org/I112471378,Central University of Tamil Nadu,https://ror.org/03ytqnm28,IN,funder
https://openalex.org/I1287378978,University of British Columbia Hospital,https://ror.org/00frst980,CA,healthcare
https://openalex.org/I4387153571,UMR Géographie-cités,https://ror.org/05yqfzf35,,facility
https://openalex.org/I4210114179,Sonova (Switzerland),https://ror.org/027rr8795,CH,funder
https://openalex.org/I78927796,Georgia Gwinnett College,https://ror.org/05vkmhj10,US,education
https://openalex.org/I2803051760,Gwinnett College,https://ror.org/047y9vj34,US,education
https://openalex.org/I4210124300,Hubei Provincial Women and Children's Hospital,https://ror.org/03323pz98,CN,healthcare
https://openalex.org/I4210107233,Language Science (South Korea),https://ror.org/01h9v1373,KR,company
https://openalex.org/I4210087284,St Vincent's Hospital Sydney,https://ror.org/000ed3w25,AU,healthcare
https://openalex.org/I4210133905,VA Pittsburgh Healthcare System,https://ror.org/02qm18h86,US,healthcare
https://openalex.org/I79741316,University of Pecs,https://ror.org/037b5pv06,HU,funder
https://openalex.org/I192168892,National University of Kaohsiung,https://ror.org/013zjb662,TW,education
https://openalex.org/I4210164898,Beijing Chaoyang Emergency Medical Center,https://ror.org/05anb7a53,CN,healthcare
https://openalex.org/I2800230563,IMC University of Applied Sciences Krems,https://ror.org/00eaycp31,AT,education
https://openalex.org/I4210105842,Kavli Institute for Theoretical Sciences,https://ror.org/01kv3wg35,CN,facility
https://openalex.org/I181190671,New York Medical College,https://ror.org/03dkvy735,US,funder
https://openalex.org/I64767286,Clalit Health Services,https://ror.org/04zjvnp94,IL,healthcare
https://openalex.org/I4210087697,National Yang Ming University Hospital,https://ror.org/003xdw211,TW,healthcare
https://openalex.org/I102248843,Vienna University of Economics and Business,https://ror.org/03yn8s215,AT,education
https://openalex.org/I4210098630,Xi'an Honghui Hospital,https://ror.org/015bnwc11,CN,healthcare
https://openalex.org/I4387153637,Ho Chi Minh City University of Economics and Finance,https://ror.org/00rpn1945,,education
https://openalex.org/I4210110502,Jiangsu Provincial Academy of Traditional Chinese Medicine,https://ror.org/01a1w0r26,CN,healthcare
https://openalex.org/I4210131968,The Christie Hospital,https://ror.org/03nd63441,GB,healthcare
https://openalex.org/I140508470,Sophiahemmet University College,https://ror.org/01aem0w72,SE,funder
https://openalex.org/I4210158168,Melbourne Health,https://ror.org/04z4kmw33,AU,healthcare
https://openalex.org/I4210105239,National Institute of Education Sciences,https://ror.org/01dfm1a30,CN,education
https://openalex.org/I32399674,Shenyang Normal University,https://ror.org/05cdfgm80,CN,funder
https://openalex.org/I2802437833,Baycrest Hospital,https://ror.org/03gp5b411,CA,healthcare
https://openalex.org/I55741626,Technical University of Crete,https://ror.org/03f8bz564,GR,education
https://openalex.org/I4210131000,Instituto de Ciencias de La Construcción Eduardo Torroja,https://ror.org/03x2a1f75,ES,facility
https://openalex.org/I65196183,Tatung University,https://ror.org/030m18266,TW,funder
https://openalex.org/I81417347,Korea National Sport University,https://ror.org/02fywdp72,KR,funder
https://openalex.org/I2802127220,Alberta Children's Hospital,https://ror.org/00sx29x36,CA,healthcare
https://openalex.org/I4210150808,Ankara Yıldırım Beyazıt University,https://ror.org/05ryemn72,TR,funder
https://openalex.org/I341072040,Tyndale University,https://ror.org/00aqdmx54,CA,education
https://openalex.org/I4210114604,Beijing Luhe Hospital Affiliated to Capital Medical University,https://ror.org/01zyn4z03,CN,healthcare
https://openalex.org/I4210133673,VPIphotonics (Germany),https://ror.org/03tdxj229,DE,company
https://openalex.org/I16285277,William & Mary,https://ror.org/03hsf0573,US,funder
https://openalex.org/I118091203,Universidad San Pablo CEU,https://ror.org/00tvate34,ES,education
https://openalex.org/I189268942,Universidad de Alcalá,https://ror.org/04pmn0e78,ES,funder
https://openalex.org/I4210161404,Chinese Society for Electrical Engineering,https://ror.org/04w1pxt36,CN,nonprofit
https://openalex.org/I4210093755,Shenzhen Institute of Innovation Design (China),https://ror.org/00mzd6670,CN,company
https://openalex.org/I154893126,Guizhou Normal University,https://ror.org/02x1pa065,CN,funder
https://openalex.org/I34931013,National Institute for Health Research,https://ror.org/0187kwz08,GB,government
https://openalex.org/I4210143568,Central Hospital of Wuhan,https://ror.org/04qs2sz84,CN,healthcare
https://openalex.org/I1315496137,University of Maryland Medical Center,https://ror.org/00sde4n60,US,healthcare
https://openalex.org/I200166805,Guy's and St Thomas' NHS Foundation Trust,https://ror.org/00j161312,GB,healthcare
https://openalex.org/I3125347698,Babeș-Bolyai University,https://ror.org/02rmd1t30,RO,funder
https://openalex.org/I117222138,Abu Dhabi University,https://ror.org/01r3kjq03,AE,education
https://openalex.org/I48780066,Shenyang University of Chemical Technology,https://ror.org/03dbpdh75,CN,funder
https://openalex.org/I3017888287,Universidade Nove de Julho,https://ror.org/005mpbw70,BR,funder
https://openalex.org/I4210094798,Rajamangala University of Technology Krungthep,https://ror.org/00wcxq223,TH,education
https://openalex.org/I128956969,Texas Christian University,https://ror.org/054b0b564,US,funder
https://openalex.org/I121486552,Helsinki Metropolia University of Applied Sciences,https://ror.org/03hdaef25,FI,education
https://openalex.org/I2801834177,Taipei City Government,https://ror.org/02eqw3q87,TW,government
https://openalex.org/I2800979572,Research Institute for Tropical Medicine,https://ror.org/01g79at26,PH,facility
https://openalex.org/I2276074,Lawrence Technological University,https://ror.org/04d52ej85,US,education
https://openalex.org/I99731219,Higher Institute for Applied Sciences and Technology,https://ror.org/009qm7w92,SY,education
https://openalex.org/I4210100305,Netherlands Enterprise Agency,https://ror.org/00mvd2t81,NL,government
https://openalex.org/I4210126638,Horological Research Institute of Light Industry,https://ror.org/031nqzs81,CN,facility
https://openalex.org/I129488602,Burapha University,https://ror.org/01ff74m36,TH,funder
https://openalex.org/I53118340,Rhode Island College,https://ror.org/01k5gt570,US,funder
https://openalex.org/I4210137940,Shanxi Dayi Hospital,https://ror.org/03tq2kc64,CN,healthcare
https://openalex.org/I4210158804,Shanxi Academy of Medical Sciences,https://ror.org/04tshhm50,CN,healthcare
https://openalex.org/I4210141240,Ludwig Boltzmann Institute Applied Diagnostics,https://ror.org/03gjxds17,AT,facility
https://openalex.org/I4210128031,Center For Biomarker Research In Medicine,https://ror.org/031gwf224,AT,nonprofit
https://openalex.org/I40246663,Chinese Academy of Engineering,https://ror.org/00z3yke57,CN,other
https://openalex.org/I267592682,Williams (United States),https://ror.org/007zhvp17,US,funder
https://openalex.org/I4210141689,Yancheng Teachers University,https://ror.org/042k5fe81,CN,funder
